gene1,gene2,type,CC_sum,MF_sum,BP_sum
TP63,TP53,Others,27,49,99
TP73,TP53,Others,29,55,103
TP73,TP63,Others,14,24,28
TPD52L1,TPD52,Others,7,6,10
TPH2,PAH,Others,3,3,4
TPTE2,TPTE,Others,9,4,16
TRABD2B,TRABD2A,Others,10,11,8
TRIM3,TRIM2,Others,2,6,5
TRIM9,TRIM67,Others,2,4,1
TRIP10,FNBP1,Others,7,4,3
TRPC5,TRPC4,Others,13,10,12
TRPM3,TRPM1,Others,4,5,10
TRPM7,TRPM6,Others,5,4,8
TRPV6,TRPV5,Others,8,9,12
TSHZ3,TSHZ1,Others,7,8,3
TSPAN11,CD151,Others,8,3,9
TSPAN31,TSPAN13,Others,4,1,1
TSPAN5,TSPAN17,Others,5,3,9
TSPAN7,TSPAN6,Others,3,2,3
TSPAN9,CD82,Others,7,2,1
TSPYL6,TSPYL1,Others,6,6,1
TSSK2,TSSK1B,Others,5,9,6
TUBG2,TUBG1,Others,22,7,15
TXLNB,TXLNA,Others,4,2,1
TXLNG,TXLNA,Others,4,3,3
TYK2,JAK3,Others,7,8,30
TYW1B,TYW1,Others,0,1,2
UACA,RAI14,Others,8,3,3
UBE2G2,UBE2G1,Others,8,9,16
UBE3C,UBE3B,Others,0,4,5
UCHL3,UCHL1,Others,11,15,11
UGT3A2,UGT3A1,Others,3,5,1
UHRF1BP1L,UHRF1BP1,Others,2,7,0
UHRF2,UHRF1,Others,10,14,19
UNC13B,UNC13A,Others,18,6,22
UNC13C,UNC13B,Others,18,6,20
UNC5B,UNC5A,Others,1,3,8
UPP2,UPP1,Others,4,5,7
UQCRHL,UQCRH,Others,5,1,6
USF2,USF1,Others,11,27,16
USP19,USP11,Others,8,8,10
USP4,USP11,Others,12,8,9
USP9Y,USP9X,Others,9,9,20
UTY,KDM6A,Others,7,7,6
VASH2,VASH1,Others,7,9,18
VAV3,VAV1,Others,4,8,27
VEGFC,VEGFA,Others,11,27,103
VGF,PALM3,Others,6,3,11
VIL1,AVIL,Others,15,15,33
VPS13C,VPS13A,Others,13,1,11
WASF3,WASF2,Others,12,8,13
WASHC2C,WASHC2A,Others,9,11,6
WDFY4,WDFY3,Others,12,2,1
WDR5B,WDR5,Others,11,5,11
WFIKKN2,WFIKKN1,Others,1,11,4
WNT10B,WNT10A,Others,4,7,23
WNT2B,WNT2,Others,10,9,28
WNT3A,WNT3,Others,21,12,45
WNT5B,WNT5A,Others,22,11,72
WNT7B,WNT7A,Others,17,11,49
WNT8B,WNT8A,Others,4,6,16
WNT9B,WNT9A,Others,4,7,14
WWC2,WWC1,Others,7,6,13
WWC3,WWC2,Others,2,4,6
WWP1,ITCH,Others,13,14,31
WWP2,WWP1,Others,9,10,29
XCL2,XCL1,Others,4,9,51
XIAP,BIRC3,Others,14,13,40
XPNPEP2,XPNPEP1,Others,7,5,2
YY2,YY1,Others,9,19,13
ZAP70,SYK,Others,15,23,50
ZBTB3,ZBTB18,Others,7,10,4
ZBTB8B,ZBTB46,Others,4,5,2
ZC3H12B,ZC3H12A,Others,11,12,41
ZC3H12C,ZC3H12B,Others,5,6,3
ZCCHC13,CNBP,Others,2,10,6
ZCCHC18,ZCCHC12,Others,2,1,0
ZDHHC2,ZDHHC15,Others,9,9,17
ZFAND6,ZFAND5,Others,3,5,6
ZFHX4,ZFHX3,Others,11,12,9
ZFP69B,ZFP69,Others,2,7,5
ZFYVE9,ZFYVE16,Others,11,6,10
ZMYM4,ZMYM2,Others,2,4,4
ZNF260,ZNF146,Others,6,9,3
ZNF280B,ZNF280A,Others,0,5,2
ZNF292,RLF,Others,2,5,2
ZNF346,ZMAT4,Others,3,7,0
ZNF384,ZNF362,Others,1,5,2
ZNF385D,ZNF385B,Others,3,2,1
ZNF426,ZNF266,Others,1,7,3
ZNF521,ZNF423,Others,4,8,7
ZNF630,ZNF300,Others,6,7,3
ZNF687,ZNF532,Others,2,1,0
ZNF703,ZNF503,Others,6,4,13
ZNF81,ZNF175,Others,5,9,4
ZRANB3,SMARCAD1,Others,7,10,17
