V1,V3,V4,gene1,gene2,hct116.T21.gi.GEMINI,GM.T15.gi.GEMINI,hct116.significant.GEMINI,GM12878.significant.GEMINI
choose,ENSG00000150054,ENSG00000161647,MPP7,MPP3,0.199,0.171,N,N
choose,ENSG00000111859,ENSG00000050820,NEDD9,BCAR1,-0.438,-0.282,N,N
choose,ENSG00000179715,ENSG00000132635,PCED1B,PCED1A,0.19,-0.104,N,N
choose,ENSG00000161405,ENSG00000185811,IKZF3,IKZF1,0.007,-0.06,N,N
gi2,ENSG00000186204,ENSG00000197122,CYP4F12,SRC,0.067,0.228,N,N
choose,ENSG00000117625,ENSG00000167771,RCOR3,RCOR2,0.579,-0.243,N,N
choose,ENSG00000033800,ENSG00000078043,PIAS1,PIAS2,0.336,0.808,N,N
choose,ENSG00000104863,ENSG00000148943,LIN7B,LIN7C,0.309,-0.195,N,N
choose,ENSG00000163155,ENSG00000140280,LYSMD1,LYSMD2,0.179,-0.3,N,N
choose,ENSG00000033122,ENSG00000112851,LRRC7,ERBB2IP,0.028,-0.231,N,N
choose,ENSG00000170537,ENSG00000167895,TMC7,TMC8,0.199,0.845,N,N
choose,ENSG00000089163,ENSG00000124523,SIRT4,SIRT5,-0.13,0.333,N,N
choose,ENSG00000153898,ENSG00000090674,MCOLN2,MCOLN1,0.08,0.879,N,N
choose,ENSG00000135250,ENSG00000184343,SRPK2,SRPK3,0.14,0.305,N,N
choose,ENSG00000102890,ENSG00000062598,ELMO3,ELMO2,-0.086,0.074,N,N
choose,ENSG00000168300,ENSG00000203880,PCMTD1,PCMTD2,0.009,0.043,N,N
choose,ENSG00000163141,ENSG00000140299,BNIPL,BNIP2,0.305,0.336,N,N
choose,ENSG00000105397,ENSG00000105639,TYK2,JAK3,0.204,0.13,N,N
choose,ENSG00000108984,ENSG00000034152,MAP2K6,MAP2K3,-1.065,0.05,N,N
choose,ENSG00000157077,ENSG00000039319,ZFYVE9,ZFYVE16,-0.182,-0.467,N,N
choose,ENSG00000185015,ENSG00000133742,CA13,CA1,0.054,-0.275,N,N
choose,ENSG00000144655,ENSG00000110925,CSRNP1,CSRNP2,0.407,0.211,N,N
choose,ENSG00000082126,ENSG00000161647,MPP4,MPP3,-0.097,-0.214,N,N
choose,ENSG00000182263,ENSG00000132436,FIGN,FIGNL1,-0.071,0.153,N,N
choose,ENSG00000177469,ENSG00000168497,PTRF,SDPR,0.05,0.138,N,N
choose,ENSG00000137269,ENSG00000180900,LRRC1,SCRIB,-0.466,0.073,N,N
choose,ENSG00000138685,ENSG00000075388,FGF2,FGF4,-0.039,0.013,N,N
gi2,ENSG00000164045,ENSG00000009724,CDC25A,MASP2,-0.74,0.047,N,N
choose,ENSG00000138640,ENSG00000148541,FAM13A,FAM13C,0.089,0.118,N,N
choose,ENSG00000054523,ENSG00000130294,KIF1B,KIF1A,-0.265,0.341,N,N
choose,ENSG00000133703,ENSG00000126458,KRAS,RRAS,-0.918,0.021,N,N
gi1,ENSG00000039068,ENSG00000062038,CDH1,CDH3,-0.218,-0.137,N,N
choose,ENSG00000132849,ENSG00000107186,INADL,MPDZ,-0.091,0.136,N,N
choose,ENSG00000111785,ENSG00000177963,RIC8B,RIC8A,0.312,-0.313,N,N
choose,ENSG00000179456,ENSG00000185670,ZBTB18,ZBTB3,0.126,0.233,N,N
choose,ENSG00000141127,ENSG00000161542,PRPSAP2,PRPSAP1,0.425,0.236,N,N
choose,ENSG00000132510,ENSG00000183878,KDM6B,UTY,0.013,0.16,N,N
choose,ENSG00000134318,ENSG00000067900,ROCK2,ROCK1,-0.573,0.365,N,N
choose,ENSG00000151729,ENSG00000169100,SLC25A4,SLC25A6,0.058,0.2,N,N
gi2,ENSG00000105552,ENSG00000213316,BCAT2,LTC4S,0.085,-0.022,N,N
choose,ENSG00000111713,ENSG00000104812,GYS2,GYS1,0.234,0.23,N,N
choose,ENSG00000173230,ENSG00000102189,GOLGB1,EEA1,0.14,-0.246,N,N
choose,ENSG00000136144,ENSG00000136161,RCBTB1,RCBTB2,-0.051,-0.069,N,N
choose,ENSG00000131504,ENSG00000139734,DIAPH1,DIAPH3,0.046,0.291,N,N
choose,ENSG00000168502,ENSG00000149639,SOGA2,SOGA1,0.296,-0.087,N,N
choose,ENSG00000185658,ENSG00000165288,BRWD1,BRWD3,-0.081,-0.052,N,N
choose,ENSG00000111907,ENSG00000076554,TPD52L1,TPD52,-0.091,-0.175,N,N
choose,ENSG00000052723,ENSG00000111790,SIKE1,FGFR1OP2,0.178,0.335,N,N
choose,ENSG00000184014,ENSG00000170456,DENND5A,DENND5B,-0.006,0.165,N,N
