"","V1","V2","V3","V4","hct116.T21.gi","hct116.T21.gi.sd","qvalue.x","significant.x","GM.T15.gi","GM.T15.gi.sd","qvalue.y","significant.y","genename.x","genename.y","gi"
"563","choose","pair","ENSG00000100422","ENSG00000188452",0.0998974683160267,0.277508431899338,0.999999999999713,"N",1.38313492281305,0.390927822759607,0.999999997646874,"N","CERK","CERKL","others"
"564","choose","pair","ENSG00000143702","ENSG00000099814",0.101610484286466,0.231985947471512,0.999999999999713,"N",0.599962300439181,0.308393308881641,0.999999997646874,"N","CEP170","CEP170B","others"
"565","choose","pair","ENSG00000157191","ENSG00000089818",0.10273467297361,0.167973368900917,0.999999999999713,"N",0.00985446120277689,0.219454258952357,0.999999997646874,"N","NECAP2","NECAP1","others"
"566","choose","pair","ENSG00000198400","ENSG00000148053",0.103207569383739,0.252052392904194,0.999999999999713,"N",0.219666124537781,0.356928168484664,0.999999997646874,"N","NTRK1","NTRK2","others"
"567","choose","pair","ENSG00000058063","ENSG00000101974",0.103341816270805,0.413291281559623,0.999999999999713,"N",0.806439670562725,0.68360696669739,0.999999997646874,"N","ATP11B","ATP11C","others"
"568","choose","pair","ENSG00000137802","ENSG00000075702",0.107701146658551,0.16466978814945,0.999999999999713,"N",0.211885349901564,0.306263289153707,0.999999997646874,"N","MAPKBP1","WDR62","others"
"569","choose","pair","ENSG00000149557","ENSG00000171055",0.111387914933247,0.229978765469242,0.999999999999713,"N",0.00890851836801837,0.306302069576659,0.999999997646874,"N","FEZ1","FEZ2","others"
"570","choose","pair","ENSG00000130045","ENSG00000171773",0.112250497175281,0.236764700064011,0.999999999999713,"N",0.00781137924471365,0.312779538785878,0.999999997646874,"N","NXNL2","NXNL1","others"
"571","choose","pair","ENSG00000131844","ENSG00000114054",0.113116127685021,0.228190652476176,0.999999999999713,"N",0.136961426392102,0.345963566203914,0.999999997646874,"N","MCCC2","PCCB","others"
"572","choose","pair","ENSG00000113231","ENSG00000073417",0.113559593047379,0.198960055446936,0.999999999999713,"N",0.525317836760614,0.261156932144104,0.999999997646874,"N","PDE8B","PDE8A","others"
"573","choose","pair","ENSG00000135124","ENSG00000108405",0.114096165692415,0.243174771508559,0.999999999999713,"N",0.530281910301514,0.385095790448824,0.999999997646874,"N","P2RX4","P2RX1","others"
"574","gi2","pair","ENSG00000182866","ENSG00000007171",0.117710849268597,0.193036004666014,0.999999999999713,"N",0.230471200832267,0.249709534720569,0.999999997646874,"N","LCK","NOS2","others"
"575","gi2","pair","ENSG00000171631","ENSG00000170190",0.117905503756701,0.14280688867734,0.999999999999713,"N",0.224467801403972,0.187819338746687,0.999999997646874,"N","P2RY6","SLC16A5","others"
"576","choose","pair","ENSG00000172292","ENSG00000139624",0.11888877979175,0.361396687076164,0.999999999999713,"N",0.391513743194008,0.458392453571734,0.999999997646874,"N","CERS6","CERS5","others"
"577","choose","pair","ENSG00000137269","ENSG00000180900",0.122448402387946,0.266651056897997,0.999999999999713,"N",0.097510476676798,0.32655263037051,0.999999997646874,"N","LRRC1","SCRIB","others"
"578","choose","pair","ENSG00000184672","ENSG00000125970",0.125306134224532,0.230237979705824,0.999999999999713,"N",0.31938226955283,0.311114338859439,0.999999997646874,"N","RALYL","RALY","others"
"579","choose","pair","ENSG00000066084","ENSG00000160305",0.130302687702752,0.179581384574153,0.999999999999713,"N",0.346305660653456,0.227605068117911,0.999999997646874,"N","DIP2B","DIP2A","others"
"580","choose","pair","ENSG00000116044","ENSG00000123405",0.131293999302623,0.303883036779053,0.999999999999713,"N",0.288562926826982,0.33712912164932,0.999999997646874,"N","NFE2L2","NFE2","others"
"581","choose","pair","ENSG00000115109","ENSG00000095203",0.135172229823709,0.191365608819486,0.999999999999713,"N",0.117040184634483,0.260882817875427,0.999999997646874,"N","EPB41L5","EPB41L4B","others"
"582","choose","pair","ENSG00000146463","ENSG00000121741",0.135374449432742,0.219250138242286,0.999999999999713,"N",0.338667565295809,0.28195954493766,0.999999997646874,"N","ZMYM4","ZMYM2","others"
"583","gi2","pair","ENSG00000124762","ENSG00000198900",0.136219130329592,0.231190127470592,0.999999999999713,"N",0.356627730560193,0.277599451490459,0.999999997646874,"N","CDKN1A","TOP1","others"
"584","choose","pair","ENSG00000134873","ENSG00000181885",0.13661715115165,0.320842825801173,0.999999999999713,"N",0.0958616838136368,0.407911741118693,0.999999997646874,"N","CLDN10","CLDN7","others"
